pageid,title
439331,Jason Kenney
451733,Justin Trudeau
463715,Carolyn Bennett
480514,Jim Watson (Canadian politician)
555445,John Tory
565114,Carole James
649430,Dan Vandal
657728,Dominic LeBlanc
712901,Lawrence MacAulay
762985,Mark Holland
980988,Myrna Driedger
983082,Kelvin Goertzen
991541,Heather Stefanson
1482981,Anthony Rota
2146203,George Furey
2154598,Bill Blair (politician)
2474135,Seamus O'Regan
2626628,Marci Ien
3427721,Pablo Rodriguez (Canadian politician)
3481063,Omar Alghabra
3747035,Filomena Tassi
6899647,François Legault
10317779,Stéphanie Vallée
10330853,Pierre Arcand
10953423,Julie Boulet
10987091,Lise Thériault
11393482,Chris Collins (Canadian politician)
11446437,Chrystia Freeland
12425200,John Horgan
13320883,Joyce Murray
13504648,Steven Guilbeault
13684062,Helena Jaczek
14119247,Judy Foote
20383841,Dominique Vien
20608989,Benoit Charette
23690945,Mary Simon
28975398,Blaine Higgs
29361490,Doug Ford
31663632,Kennedy Stewart (Canadian politician)
32755105,Frank Lewis (broadcaster)
33295963,Colin LaVie
33299114,Frederick Blake Jr.
33384073,Sandy Silver
33683878,Scott Moe
33686259,Mark Docherty (politician)
35187668,Vaughn Solomon Schofield
37123435,Christian Dubé (politician)
37193685,Richard Wagner (judge)
39189685,Nicholas Kasirer
39282723,Tiff Macklem
39396931,Darryl Plecas
40411599,Ahmed Hussen
40732070,Mélanie Joly
40755808,Tim Houston
40926369,Paul Quassa
42441645,Sylvie D'Amours
43153073,Elizabeth Dowdeswell
43935775,Bill Oliver (politician)
44188123,Brian Bowman (politician)
44303203,François Paradis
44516744,Scott Reid (Newfoundland and Labrador politician)
46622752,Nathan Cooper (Canadian politician)
46819745,Janice Filmon
47308453,J. Michel Doyon
47614745,David Lametti
48295022,Gudie Hutchings
48295905,Sean Fraser (politician)
48296739,Ginette Petitpas Taylor
48298275,Marco Mendicino
48298426,Carla Qualtrough
48298448,Harjit Sajjan
48298566,Marc Miller (politician)
48299726,Randy Boissonnault
48299877,Diane Lebouthillier
48302529,Jonathan Wilkinson
48304119,François-Philippe Champagne
48304260,Patty Hajdu
48304352,Jean-Yves Duclos
48304454,Kamal Khera
48304478,Marie-Claude Bibeau
48644824,Caroline Cochrane
52170383,Marc Gold
52221294,Nils Clarke
52477212,Valérie Plante
53682082,Mona Fortier
53682214,Mary Ng
55423136,Geneviève Guilbault
55921462,Sheilah Martin
57225096,Janet Austin
58630660,Sonia LeBel
58634936,Eric Girard (Groulx MNA)
60020407,Dennis King (politician)
61302541,Russell Mirasty
61310733,Wayne Eyre
61738215,Brenda Murphy
61752870,Anita Anand
62195216,Karina Gould
63483641,Kirsten Hillman
64426197,Salma Lakhani
64747376,Andrew Furey
64780991,Karen Hogan
67976362,Mahmud Jamal
68804904,Pascale St-Onge
68899768,Jyoti Gondek
69121230,P.J. Akeeagok
69344236,Bruno Marchand
