id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q14931511,monarch of Canada,Q16,Q16,,Q2558955,,,,,
Q390776,Governor General of Canada,Q16,Q16,,Q1197847,1608,,,,Governor General of Canada
Q839078,Prime Minister of Canada,Q16,Q16,Q3556884,Q927338,1867-07-01,,,,Prime Minister of Canada
Q3556884,Deputy Prime Minister of Canada,Q16,Q16,,,1977-09-16,,,,Deputy Prime Minister of Canada
Q4294939,Minister of Agriculture and Agri-Food,Q16,Q16,,,1995-01-12,,,,Minister of Agriculture and Agri-Food
Q6866016,Minister for the purposes of the Atlantic Canada Opportunities Agency Act,Q16,Q16,,,1988-09-15,,,,Minister for the purposes of the Atlantic Canada Opportunities Agency Act
Q56063852,Minister of Border Security and Organized Crime Reduction,,,,,2018-07-18,,,,Minister of Border Security and Organized Crime Reduction
Q3251837,Minister of Canadian Heritage,Q16,Q16,,,1996-07-12,,,,Minister of Canadian Heritage
Q1195049,Minister of Crown-Indigenous Relations,Q16,Q16,,,2011-05-18,,,,Minister of Crown–Indigenous Relations
Q6865789,Minister of Democratic Institutions,Q16,Q16,,,2003-12-12,,,,Minister of Democratic Institutions
Q85846648,Minister of Digital Government,Q16,Q16,,,,,,,Minister of Digital Government
Q86752046,Minister of Diversity and Inclusion and Youth,,Q16,,,,,,,Minister of Housing and Diversity and Inclusion
Q85785667,Minister of Economic Development and Official Languages,Q16,Q16,,,,,,,Minister of Economic Development and Official Languages
Q109283894,Minister of Emergency Preparedness,Q16,,,,,,,,Minister of Emergency Preparedness
Q85854147,Minister of Employment and Immigration,Q16,Q16,,,1977-01-01,1996,,,Minister of Employment and Immigration
Q16931775,"Minister of Employment, Workforce, and Labour",Q16,Q16,,,1909-06-02,,,,"Minister of Employment, Workforce Development and Disability Inclusion"
Q3251786,"Minister of Energy, Mines and Resources",Q16,Q16,,,,,,,"Minister of Energy, Mines and Resources"
Q3251775,Minister of the Environment,Q16,Q16,,,1971-06-11,,,,Minister of Environment and Climate Change
Q6866194,"minister of Families, Children and Social Development",Q16,Q16,,,2003-12-12,,,,"Minister of Families, Children and Social Development"
Q3251818,Minister of Finance,Q16,Q16,,,1867,,,,Minister of Finance (Canada)
Q3251819,Minister of Fisheries and Oceans,Q16,Q16,,,1979-04-02,,,,"Ministers of Fisheries, Oceans and the Canadian Coast Guard"
Q541355,Minister of Foreign Affairs of Canada,Q16,Q16,,,1993-11-04,,,,Minister of Foreign Affairs (Canada)
Q3251800,Minister of Health,Q16,Q16,,,1996-07-12,,,,Minister of Health (Canada)
Q6866192,Minister of Human Resources Development,Q16,Q16,,,,,,,Minister of Human Resources Development
Q3251793,"Minister of Immigration, Refugees and Citizenship",Q16,Q16,,,1994-06-30,,,,"Minister of Immigration, Refugees and Citizenship"
Q39059620,Minister of Indigenous Services,Q16,Q16,,,2017-08-28,,,,Minister of Indigenous Services
Q23890887,Minister of Infrastructure and Communities,Q16,Q16,,,2015,,,,Minister of Infrastructure and Communities
Q3251779,"Minister of Innovation, Science and Industry",Q16,Q16,,,1995-03-29,,,,"Minister of Innovation, Science and Industry"
Q16847971,Minister of Intergovernmental Affairs,Q16,Q16,,,1993-11-14,,,,"Minister of Intergovernmental Affairs, Infrastructure and Communities"
Q3315106,Minister of the Interior,Q16,Q16,,,1867,,,,Minister of the Interior (Canada)
Q6865892,Minister for Internal Trade,Q16,Q16,,,,,,,Minister for Internal Trade (Canada)
Q16848986,Minister for International Development,Q16,Q16,,,1996-01-25,,,,Minister of International Development (Canada)
Q748607,Minister of International Trade,Q16,Q16,,,1983-12-08,,,,Minister of International Trade Diversification
Q3315120,Minister of Justice and Attorney General of Canada,Q16,Q16,,,1867,,,,Minister of Justice and Attorney General of Canada
Q104842279,Minister of Labour,Q16,Q16,,,,,,,Minister of Labour (Canada)
Q6866242,Minister of Manpower and Immigration,Q16,Q16,,,,,,,Minister of Manpower and Immigration
Q109283898,Minister of Mental Health and Addictions,Q16,Q16,,,2021-10-26,,,,Minister of Mental Health and Addictions
Q85846650,Minister of Middle Class Prosperity,Q16,Q16,,,,,,,Minister of Middle Class Prosperity
Q6866245,Minister of Militia and Defence,Q16,Q16,,,,1921,,Q3315114,Minister of Militia and Defence
Q6866255,Minister of Multiculturalism and Citizenship,Q16,Q16,,,1991-04-21,2015-11-04,,,Minister of Multiculturalism and Citizenship
Q3315114,Minister of National Defence,Q16,Q16,,,1923,,Q6866245,,Minister of National Defence (Canada)
Q16934886,Minister of National Defence for Air,Q16,Q16,,,,,,,Minister of National Defence for Air (Canada)
Q6866264,Minister of National Revenue,Q16,Q16,,,1927-03-21,,,,Minister of National Revenue
Q3251824,Minister of Natural Resources,Q16,Q16,,,1995-01-12,,,,Minister of Natural Resources
Q6866270,Minister of Northern Affairs and National Resources,Q16,Q16,,,,,,,Minister of Northern Affairs
Q6866275,Minister of Pensions and National Health,Q16,Q16,,,1928,1944,,,Minister of Pensions and National Health (Canada)
Q16933914,Minister of Public Safety,Q16,Q16,,,2003-12-12,,,,Minister of Public Safety
Q6866295,Minister of Public Services and Procurement,Q16,Q16,,,1996-07-12,,,,Minister of Public Services and Procurement
Q6866292,Minister of Public Works,Q16,Q16,,,,,,,Minister of Public Works (Canada)
Q60771378,Minister of Rural Economic Development,Q16,Q16,,,,,,,Minister of Rural Economic Development
Q85785685,Minister of Seniors,Q16,Q16,,,,,,,Minister of Seniors
Q24190727,Minister of Small Business and Tourism,Q16,Q16,,,1976-09-30,,,,"Minister of International Trade, Export Promotion, Small Business and Economic Development"
Q104840604,Minister for Sport,,Q16,,,,,,,Minister for Sport (Canada)
Q6866332,Minister of Sport and Persons with Disabilities,Q16,Q16,,,1961-09-29,,,,
Q6866327,Minister of State,Q16,Q16,,,,,,,Minister of State (Canada)
Q109292534,Minister of Tourism,,Q16,,,,,,,Minister of Tourism (Canada)
Q3251821,Canadian Minister of Transport,Q16,Q16,,,1936-11-02,,,,Minister of Transport (Canada)
Q3251807,Minister of Veterans Affairs,Q16,Q16,,,1944-10-18,,,,Minister of Veterans Affairs (Canada)
Q6866422,Minister of Western Economic Diversification,Q16,Q16,,,1988-06-28,,,,Minister of Western Economic Diversification
Q6866460,Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec,Q16,Q16,,,,,,,Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
