id,name,relationship,relative,relativename
Q1249752,Mel Lastman,child,Q16728342,Dale Lastman
Q128529,Paul Martin,father,Q524772,Paul Joseph James Martin
Q128529,Paul Martin,spouse,Q3481745,Sheila Martin
Q128543,Jean Chrétien,child,Q21483285,Hubert Chrétien
Q128543,Jean Chrétien,child,Q5478272,France Chrétien Desmarais
Q128543,Jean Chrétien,child,Q6836336,Michel Chrétien
Q128543,Jean Chrétien,father,Q96241739,Willie Chrétien
Q128543,Jean Chrétien,mother,Q96241812,Marie Boisvert
Q128543,Jean Chrétien,relative,Q3420759,Raymond Chrétien
Q128543,Jean Chrétien,sibling,Q3309276,Michel Chrétien
Q128543,Jean Chrétien,spouse,Q2837024,Aline Chrétien
Q128574,Joe Clark,child,Q5052592,Catherine Clark
Q128574,Joe Clark,spouse,Q4410540,Maureen McTeer
Q128933,Michaëlle Jean,spouse,Q3087911,Jean-Daniel Lafond
Q1382032,Frank Mahovlich,sibling,Q432389,Peter Mahovlich
Q1607747,Amir Khadir,spouse,Q71977944,Nimâ Machouf
Q16243873,Hélène David,father,Q3370985,Paul David
Q16243873,Hélène David,mother,Q58468244,Nellie Maillard
Q16243873,Hélène David,sibling,Q2093379,Pierre David
Q16243873,Hélène David,sibling,Q2958279,Charles-Philippe David
Q16243873,Hélène David,sibling,Q3086459,Françoise David
Q16536539,Catherine Dorion,father,Q74032615,Louis Dorion
Q16536539,Catherine Dorion,mother,Q74033024,Claudette Brasseur
Q1677183,Jack Ramsay,child,Q100390635,John G. Ramsay
Q169303,Rob Ford,father,Q5300479,Doug Ford Sr.
Q169303,Rob Ford,relative,Q24663887,Michael Ford
Q169303,Rob Ford,sibling,Q39503265,Kathy Stirpe
Q169303,Rob Ford,sibling,Q39503489,Randy Ford
Q169303,Rob Ford,sibling,Q5300478,Doug Ford
Q169303,Rob Ford,spouse,Q39503985,Renata Ford
Q17305769,Arnold Chan,spouse,Q45311888,Jean Yip
Q1840895,Erin O'Toole,father,Q14949607,John O'Toole
Q1849355,Mike Scott,partner,Q2935027,Camille O'Sullivan
Q1849355,Mike Scott,spouse,Q11281593,Megumi Igarashi
Q1873388,Lucien Bouchard,sibling,Q3123783,Gérard Bouchard
Q1892814,Thomas Mulcair,father,Q67152995,Harry Donnelly Mulcair
Q1892814,Thomas Mulcair,mother,Q67153065,Jeanne Hurtubise
Q1892814,Thomas Mulcair,spouse,Q5052876,Catherine Pinhas
Q19880417,Karen McPherson,spouse,Q6211300,Joe McPherson
Q205319,Gilles Duceppe,child,Q72194331,Alexis Brunelle-Duceppe
Q205319,Gilles Duceppe,father,Q3171833,Jean Duceppe
Q206,Stephen Harper,spouse,Q3218812,Laureen Harper
Q20682472,Jonathan Vance,father,Q15993600,Jack Vance
Q2086479,Helena Guergis,spouse,Q3417573,Rahim Jaffer
Q21160212,Gary Anandasangaree,father,Q3535025,V. Anandasangaree
Q21167969,Marilène Gill,spouse,Q21284594,Xavier Barsalou-Duval
Q21284594,Xavier Barsalou-Duval,spouse,Q21167969,Marilène Gill
Q21335996,Catherine McKenna,spouse,Q18686354,Scott Gilmore
Q21336246,Harjit Sajjan,spouse,Q22639327,Kuljit Kaur
Q21356553,Marie-Claude Bibeau,spouse,Q652759,Bernard Sévigny
Q21642319,Daniel Blaikie,father,Q2903125,Bill Blaikie
Q21964347,Caroline Mulroney,father,Q128563,Brian Mulroney
Q21964347,Caroline Mulroney,mother,Q3313820,Mila Mulroney
Q21964347,Caroline Mulroney,relative,Q22905984,Jessica Mulroney
Q21964347,Caroline Mulroney,sibling,Q367056,Ben Mulroney
