item,itemLabel,startDate,endDate,party,partyLabel,riding,ridingLabel
Q60734149,Mike Holland,,,Q3366632,Progressive Conservative,Q2830904,Albert
Q3022774,Denis Landry,,,Q2867848,Liberal,Q16253549,Bathurst East-Nepisiguit-Saint-Isidore
Q99337137,René Legacy,,,Q2867848,Liberal,Q16950560,Bathurst West-Beresford
Q3121527,Guy Arseneault,,,Q2867848,Liberal,Q16256328,Campbellton-Dalhousie
Q56744315,Isabelle Thériault,,,Q2867848,Liberal,Q2937885,Caraquet
Q99496241,Bill Hogan,,,Q3366632,Progressive Conservative,Q16256540,Carleton
Q99472210,Margaret Johnson,,,Q3366632,Progressive Conservative,Q16955881,Carleton-Victoria
Q104551133,Richard Ames,,,Q3366632,Progressive Conservative,Q17059436,Carleton-York
Q3439270,Roger Melanson,,,Q2867848,Liberal,Q3027487,Dieppe
Q3164924,Jean-Claude D'Amours,,,Q2867848,Liberal,Q3048153,Edmundston-Madawaska Centre
Q3199717,Kris Austin,,,Q3366632,Progressive Conservative,Q16981388,Fredericton-Grand Lake
Q99472134,Jill Green,,,Q3366632,Progressive Conservative,Q5499248,Fredericton North
Q950184,David Coon,,,Q3366821,Green,Q16981383,Fredericton South
Q3034840,Dominic Cardy,,,Q3366632,Progressive Conservative,Q16981385,Fredericton West-Hanwell
Q99337140,Ryan Cullins,,,Q3366632,Progressive Conservative,Q16981389,Fredericton-York
Q56749931,Andrea Anderson-Mason,,,Q3366632,Progressive Conservative,Q2960932,Fundy-The Isles-Saint John West
Q3442799,Ross Wetmore,,,Q3366632,Progressive Conservative,Q16981570,Gagetown-Petitcodiac
Q18150265,Gary Crossman,,,Q3366632,Progressive Conservative,Q16983208,Hampton
Q56749848,Kevin Arseneau,,,Q3366821,Green,Q3439665,Kent North
Q18149585,Benoît Bourque,,,Q2867848,Liberal,Q3195267,Kent South
Q18167984,Bill Oliver,,,Q3366632,Progressive Conservative,Q16989122,Kings Centre
Q18165811,Francine Landry,,,Q2867848,Liberal,Q3275450,Madawaska Les Lacs-Edmundston
Q56744330,Megan Mitton,,,Q3366821,Green,Q3515350,Memramcook-Tantramar
Q56744334,Michelle Conroy,,,Q3366632,Progressive Conservative,Q17090633,Miramichi
Q18164963,Lisa Harris,,,Q2867848,Liberal,Q2879404,Miramichi Bay-Neguac
Q56809125,Rob McKee,,,Q2867848,Liberal,Q17090768,Moncton Centre
Q62609137,Daniel Allain,,,Q3366632,Progressive Conservative,Q17090780,Moncton East
Q18168079,Ernie Steeves,,,Q3366632,Progressive Conservative,Q47462543,Moncton Northwest
Q99337790,Greg Turner,,,Q3366632,Progressive Conservative,Q47462432,Moncton South
Q3481980,Sherry Wilson,,,Q3366632,Progressive Conservative,Q17090787,Moncton Southwest
Q18149828,Jeff Carr,,,Q3366632,Progressive Conservative,Q281399,New Maryland-Sunbury
Q56751774,Mary Wilson,,,Q3366632,Progressive Conservative,Q17052880,Oromocto-Lincoln-Fredericton
Q3538587,Trevor Holder,,,Q3366632,Progressive Conservative,Q3463902,Portland-Simonds
Q2905723,Blaine Higgs,,,Q3366632,Progressive Conservative,Q3414719,Quispamsis
Q18164931,Daniel Guitard,,,Q2867848,Liberal,Q3341339,Restigouche-Chaleur
Q18167937,Gilles LePage,,,Q2867848,Liberal,Q7316116,Restigouche West
Q2926414,Bruce Fitch,,,Q3366632,Progressive Conservative,Q3433524,Riverview
Q3142247,Ted Flemming,,,Q3366632,Progressive Conservative,Q3442975,Rothesay
Q99337138,Kathy Bockus,,,Q3366632,Progressive Conservative,Q2960928,Saint Croix
Q3108698,Glen Savoie,,,Q3366632,Progressive Conservative,Q3463893,Saint John East
Q99337130,Arlene Dunn,,,Q3366632,Progressive Conservative,Q3463898,Saint John Harbour
Q3037187,Dorothy Shephard,,,Q3366632,Progressive Conservative,Q3463899,Saint John Lancaster
Q56749889,Robert Gauvin,,,Q2867848,Liberal,Q17093013,Shediac Bay-Dieppe
Q60734152,Jacques LeBlanc,,,Q2867848,Liberal,Q3481698,Shediac-Beaubassin-Cap-Pelé
Q105038341,Eric Mallet,,,Q2867848,Liberal,Q3216887,Shippagan-Lamèque-Miscou
Q3160637,Jake Stewart,,,Q3366632,Progressive Conservative,Q3315869,Southwest Miramichi-Bay du Vin
Q99337131,Tammy Scott-Wallace,,,Q3366632,Progressive Conservative,Q3197087,Sussex-Fundy-St. Martins
Q56809099,Keith Chiasson,,,Q2867848,Liberal,Q3536142,Tracadie-Sheila
Q18149930,Chuck Chiasson,,,Q2867848,Liberal,Q3113468,Victoria-La Vallée
