item,itemLabel,startDate,endDate
Q3136197,Hiram Blanchard,1867-07-04,1867-11-07
Q3568392,William Annand,1867-11-07,1875-05-11
Q3378986,Philip Carteret Hill,1875-05-11,1878-10-22
Q3484303,Simon Hugh Holmes,1878-10-22,1882-05-25
Q128686,John Sparrow David Thompson,1882-05-25,1882-08-03
Q3568997,William Thomas Pipes,1882-08-03,1884-07-28
Q3568973,William Stevens Fielding,1884-07-28,1896-07-20
Q3101643,George Henry Murray,1896-07-20,1923-01-24
Q3057006,Ernest Howard Armstrong,1923-01-24,1925-07-16
Q3047475,Edgar Nelson Rhodes,1925-07-16,1930-08-11
Q507927,Gordon Sidney Harrington,1930-08-11,1933-09-05
Q2849816,Angus L. Macdonald,1933-09-05,1940-07-10
Q949159,Alexander Stirling MacMillan,1940-07-10,1945-09-08
Q2849816,Angus L. Macdonald,1945-09-08,1954-04-13
Q1585862,Harold Connolly,1954-04-13,1954-09-30
Q3132829,Henry Hicks,1954-09-30,1956-11-20
Q461101,Robert Stanfield,1956-11-20,1967-09-13
Q3101662,George Isaac Smith,1967-09-13,1970-10-28
Q247524,Gerald Regan,1970-10-28,1978-10-05
Q3181141,John Buchanan,1978-10-05,1990-09-12
Q3439473,Roger Stuart Bacon,1990-09-12,1991-02-26
Q3036107,Donald William Cameron,1991-02-26,1993-06-11
Q3182436,John Savage,1993-06-11,1997-07-18
Q3453480,Russell MacLellan,1997-07-18,1999-08-16
Q3181686,John F. Hamm,1999-08-16,2006-02-24
Q378058,Rodney MacDonald,2006-02-24,2009-06-19
Q766147,Darrell Dexter,2009-06-19,2013-10-22
Q3498613,Stephen McNeil,2013-10-22,2021-02-23
Q15285291,Iain Rankin,2021-02-23,2021-08-31
Q15280719,Tim Houston,2021-08-31,
