position,title
Q18524027,member of the Senate
Q15964890,member of the House of Commons
Q110360219,Deputy Speaker of the House of Commons
Q15964815,member of Alberta Legislative Assembly
Q19004821,member of the Legislative Assembly of British Columbia
Q19007867,member of the Legislative Assembly of Manitoba
Q18984329,member of the Legislative Assembly of New Brunswick
Q19403853,member of the Newfoundland and Labrador House of Assembly
Q45308871,member of the Legislative Assembly of the Northwest Territories
Q18239264,member of the Nova Scotia House of Assembly
Q45308607,member of the Legislative Assembly of Nunavut
Q3305347,member of the Ontario Provincial Parliament
Q21010685,member of the Legislative Assembly of Prince Edward Island
Q3305338,member of the National Assembly of Quebec
Q18675661,member of the Legislative Assembly of Saskatchewan
Q18608478,member of the Yukon Legislative Assembly
