position,title
Q21174984,"Minister for the Economy, Innovation and Export"
Q21175105,Minister of Education
Q21191300,Minister of Employment
Q21174970,Minister of Energy and Natural Resources
Q57481523,Minister of the Environment and the Fight against Climate Change
Q21183637,Minister of Finance
Q21183650,"Minister of Forests, Wildlife and Parks"
Q21175097,Minister of Health and Social Services
Q21191138,Minister of Justice
Q57827490,Minister of Native Affairs
Q21175075,Minister of Public Security
Q21183615,"Minister of Sustainable Development, the Environment and the Fight Against Climate Change"
Q21190995,Minister of Transportation
