@@,name,position
---,Harjit Sajjan,Minister for International Development
---,Filomena Tassi,Receiver General for Canada
+++,Pablo Rodriguez,Quebec Lieutenant
+++,Harjit S. Sajjan,Minister responsible for the Pacific Economic Development Agency of Canada
+++,Harjit S. Sajjan,Minister of International Development
+++,Dan Vandal,Minister responsible for the Canadian Northern Economic Development Agency
